INCIDENT_I,CUSTOMER_C,TIME_OUTAG,TIME_RESTO,CREW_STATU,Longitude,Latitude
22135.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2834045522,45.1841538097
22136.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.3867713867,45.3030744451
22138.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1522500514,45.2731372323
22140.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.0330948088,45.3998184921
22144.0,79.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2444387005,45.1318622904
22145.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.0560461791,45.4028031934
22146.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3358814557,45.2245871505
22148.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.435019591,45.2709644093
22149.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1892885087,45.3216205875
22155.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3093406955,45.1624927761
22156.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2504174575,45.4926469672
22157.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2044676099,45.2424705016
22158.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2044072394,45.2411301624
22160.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3432764963,45.3384627116
22161.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2043803816,45.2418522332
22165.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.254671704,45.1352030926
22168.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1585893702,45.3857674705
22172.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.3568847352,45.305021446
22174.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2372145405,45.2791268927
22175.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2029353156,45.3245624061
22176.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2705137299,45.1954700218
22177.0,15.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.179163254,45.3703274391
22178.0,100.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Crew Responding,-93.3877025698,45.2701914632
22179.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1539068876,45.3621044676
22180.0,9.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1853614868,45.353365339
22182.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1726494006,45.3482219652
22183.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2044255376,45.2407542052
22184.0,6.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.3856023606,45.2650162052
22187.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1811735819,45.3681496768
22188.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.239351084,45.2701566452
22189.0,0.0,,2016-07-18 00:00:00,Known Outage,-92.9177727203,45.3215434468
22190.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2464676045,45.5329329775
22191.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2333054857,45.5168118491
22193.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2204602355,45.2142281216
22194.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2092664275,45.3007101724
22195.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2630154498,45.3243061431
22196.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1653388519,45.3712606762
22197.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.5564614494,45.5011272333
22198.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.0460830842,45.4123755899
22199.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1663645196,45.3712198725
22200.0,23.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.5001741846,45.3301493055
22201.0,4.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2160806572,45.3343559065
22202.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2084310332,45.2846631455
22203.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1614203053,45.3821239255
22204.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.260756068,45.1324382737
22205.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1867903571,45.3557688595
22206.0,6.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.6364796928,45.3091996612
22207.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.9312221327,45.4919880143
22208.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2298766779,45.1942880692
22209.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2299592123,45.1938038433
22210.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.394729691,45.2973194553
22211.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2612929567,45.3192506261
22212.0,2.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1696386968,45.4412545572
22214.0,51.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1612336054,45.3850771797
22216.0,3.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.108197665,45.3811038749
22218.0,27.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.3982591278,45.4676620797
22221.0,16.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.2861116996,45.3784664988
22223.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.1405975818,45.3921621953
22224.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2546204236,45.2697906993
22225.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1700177545,45.4416292903
22226.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1586815324,45.2513473224
22227.0,27.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-92.8554843426,45.2353528825
22229.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2626769238,45.1795028172
22230.0,8.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-93.265610184,45.3128496471
22231.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.1979997861,45.3197728552
22232.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2538867754,45.1905873375
22233.0,0.0,,2016-07-18 00:00:00,Known Outage,-93.2708037213,45.162532375
22234.0,1.0,2016-07-18 00:00:00,2016-07-18 00:00:00,Known Outage,-92.8600812432,45.2314885958
